Choose,Priority,Action,SizeGB,SourcePath,SuggestedDest,Risk,Note
,1,DELETE,24.43,C:\Users\haiha\AppData\Roaming\IDM\DwnlData,,SAFE,"IDM unfinished-download scratch. Holds two 9.3GB + 7.9GB Google-Drive blobs and FIVE copies of the same Anaconda installer. No finished file lives here."
,2,DELETE,12.91,C:\Users\haiha\AppData\Local\Microsoft\vscode-cpptools,,SAFE,"VS Code C/C++ IntelliSense precompiled-header cache. Rebuilds itself when you next open a C project."
,3,DELETE,7.33,C:\Users\haiha\.stm32cubeide\.jxbrowser-7.41.4,,SAFE,"Embedded-browser cache inside STM32CubeIDE. Regenerates."
,4,DELETE,6.41,C:\Users\haiha\AppData\Local\Google\Chrome\User Data\Profile 1\IndexedDB\https_online-video-cutter.com_0.indexeddb.blob,,SAFE,"Leftover blobs from the online-video-cutter website. Pure garbage."
,5,DELETE,3.98,C:\Users\haiha\AppData\Local\Google\Chrome\User Data\OptGuideOnDeviceModel,,SAFE,"Chrome on-device AI model weights. Chrome re-downloads only if you use that feature."
,6,DELETE,3.75,C:\Users\haiha\.stm32cubemx\.jxbrowser-7.38.2,,SAFE,"Same browser cache as row 3 but for CubeMX."
,7,DELETE,3.08,C:\Users\haiha\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.facebook.com_0.indexeddb.blob,,SAFE,"Facebook offline blob cache."
,8,DELETE,1.68,C:\Users\haiha\AppData\Local\pip\cache,,SAFE,"pip wheel cache. Or run: pip cache purge"
,9,DELETE,1.12,C:\$Recycle.Bin,,SAFE,"Recycle Bin. Empty it normally."
,10,MOVE,21.64,C:\NGOL_HAq\tai_lieu,D:\NGOL_HAq\tai_lieu,CAREFUL,"Your biggest movable folder. BUT: it holds live git repos and is an active working dir for this Claude session. Also ~3GB of it is flutter build\ output you can just delete. See notes below."
,11,MOVE,10.26,C:\NGOL_HAq\ẢNH,D:\NGOL_HAq\ẢNH,SAFE,"Photos. Nothing references these - cleanest big move on the list."
,12,MOVE,3.84,C:\CODE_nRF5340,D:\Embedded\CODE_nRF5340,SAFE,"nRF5340 project code."
,13,MOVE,3.57,C:\STM32F411,D:\STM32\STM32F411,SAFE,"Fits the D:\STM32 group we just built."
,14,MOVE,2.53,C:\Users\haiha\Videos,D:\Media\Videos,CAREFUL,"Windows known-folder. Move via folder Properties > Location tab so Windows updates the pointer - do NOT drag it."
,15,MOVE,1.69,C:\Users\haiha\Downloads,D:\Downloads,CAREFUL,"Same as row 14 - use Properties > Location."
,16,MOVE,1.37,C:\msys64,D:\DevTools\msys64,CAREFUL,"MSYS2. Hardcodes its own path in places; reinstalling to D: is often cleaner than moving."
,17,MOVE,1.34,C:\Raspberry Pi,D:\SETUP\Raspberry Pi,SAFE,"Mostly one 1.29GB Raspberry_Setup.rar."
,18,MOVE,1.27,C:\modeltech64_2020.4,D:\DevTools\modeltech64_2020.4,CAREFUL,"ModelSim. Check its license file path after moving."
,19,MOVE,1.09,C:\Users\haiha\Documents,D:\Documents,CAREFUL,"Known-folder - use Properties > Location."
,20,REVIEW,0.85,C:\CODE_STM32f103c8,,CHECK,"D:\STM32\CODE_STM32f103c8 already exists. Compare the two - if identical just delete the C: copy."
,21,REVIEW,0.68,C:\hocf1,,CHECK,"D:\hocf1 already exists. Same duplicate check as row 20."
,22,SETTINGS,24.34,C:\Users\haiha\AppData\Roaming\ZaloData,D:\AppData\ZaloData,CAREFUL,"Zalo chat media. Don't drag it. Zalo Settings > Message > storage folder, or clear old media in-app."
,23,SETTINGS,15.25,C:\pagefile.sys,D:\,SYSTEM,"Virtual memory. System Properties > Advanced > Performance > Advanced > Virtual Memory. Set C: to none, D: system-managed. Needs reboot."
,24,SETTINGS,9.03,C:\Users\haiha\AppData\Local\Android\Sdk,D:\DevTools\Android\Sdk,CAREFUL,"Move then repoint Android Studio: Settings > Languages & Frameworks > Android SDK. Also set ANDROID_SDK_ROOT."
,25,SETTINGS,8.35,C:\Users\haiha\.platformio,D:\DevTools\platformio,CAREFUL,"Move then set env var PLATFORMIO_CORE_DIR to the new path."
,26,SETTINGS,8.21,C:\Users\haiha\STM32Cube,D:\DevTools\STM32Cube,CAREFUL,"Firmware repository. CubeMX > Help > Updater Settings > Repository Folder."
,27,SETTINGS,7.94,C:\Users\haiha\.android\avd,D:\DevTools\Android\avd,CAREFUL,"Android emulators. Move then set ANDROID_AVD_HOME. Alternative: just delete the snapshots (2GB ram.img each)."
,28,SETTINGS,6.92,C:\ncs,D:\DevTools\ncs,CAREFUL,"Nordic Connect SDK. Easier to re-point via nRF Connect Toolchain Manager than to move by hand."
,29,SETTINGS,6.64,C:\Users\haiha\AppData\Local\Arduino15,D:\DevTools\Arduino15,CAREFUL,"Arduino IDE data. Preferences > change sketchbook/data location. Contains 3 near-identical esp32 zips you can delete."
,30,SETTINGS,6.10,C:\hiberfil.sys,,SYSTEM,"Hibernation file. If you never hibernate: run powercfg /h off in an ADMIN prompt. Instant 6GB, no move needed."
,31,SETTINGS,4.38,C:\Users\haiha\AppData\Local\Arm,D:\DevTools\Arm,CAREFUL,"Arm toolchain data."
,32,SETTINGS,3.47,C:\Users\haiha\AppData\Roaming\Code,,SAFE,"VS Code profile. Most of it is workspaceStorage + Copilot cache - safe to prune, not worth moving."
,33,SETTINGS,3.07,C:\flutter,D:\DevTools\flutter,CAREFUL,"Flutter SDK. Move then update PATH."
,34,SETTINGS,2.54,C:\Users\haiha\.gradle,D:\DevTools\gradle,CAREFUL,"Move then set GRADLE_USER_HOME. Or delete .gradle\caches outright."
,35,DONT,9.39,C:\Users\haiha\AppData\Local\Packages\Claude_pzs8sxrjxfjjc,,RISKY,"Claude desktop VM bundle (rootfs.vhdx 7.66GB). Store-app package - moving it breaks the app. Uninstall/reinstall if you want it gone."
,36,DONT,48.12,C:\Program Files,,RISKY,"Do not move. Uninstall apps you don't use instead."
,37,DONT,40.53,C:\Windows,,RISKY,"Do not touch. Run Disk Cleanup > Clean up system files for the safe parts."
,38,INVESTIGATE,~170,C:\System Volume Information,,SYSTEM,"UNACCOUNTED SPACE - see notes. Run in ADMIN prompt: vssadmin list shadowstorage"
